"stock","OM","MP","optimised","period","generations","fitness","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","idxB_lag","idxB_range_3","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Blim_max","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","1:5_risk_Blim","1:5_risk_Blim_max","1:5_risk_Bmsy","1:5_risk_halfBmsy","1:5_risk_collapse","1:5_SSB","1:5_Fbar","1:5_Catch","1:5_SSB_rel","1:5_Fbar_rel","1:5_Catch_rel","1:5_ICV","6:10_risk_Blim","6:10_risk_Blim_max","6:10_risk_Bmsy","6:10_risk_halfBmsy","6:10_risk_collapse","6:10_SSB","6:10_Fbar","6:10_Catch","6:10_SSB_rel","6:10_Fbar_rel","6:10_Catch_rel","6:10_ICV","11:20_risk_Blim","11:20_risk_Blim_max","11:20_risk_Bmsy","11:20_risk_halfBmsy","11:20_risk_collapse","11:20_SSB","11:20_Fbar","11:20_Catch","11:20_SSB_rel","11:20_Fbar_rel","11:20_Catch_rel","11:20_ICV","1:10_risk_Blim","1:10_risk_Blim_max","1:10_risk_Bmsy","1:10_risk_halfBmsy","1:10_risk_collapse","1:10_SSB","1:10_Fbar","1:10_Catch","1:10_SSB_rel","1:10_Fbar_rel","1:10_Catch_rel","1:10_ICV","1:20_risk_Blim","1:20_risk_Blim_max","1:20_risk_Bmsy","1:20_risk_halfBmsy","1:20_risk_collapse","1:20_SSB","1:20_Fbar","1:20_Catch","1:20_SSB_rel","1:20_Fbar_rel","1:20_Catch_rel","1:20_ICV","file"
"ple.27.7e","baseline","rfb","default","1-20",NA,0.6324874128262,1,2,3,1,1,1,1,NA,NA,NA,2,0.95,1.2,0.7,0.009,0.035,0.53885,0.2303,0,8945.95622913149,0.104404987317295,1078.6835883767,0.925026737774352,0.645467481202716,0.632487412840088,0.2,0.0244,0.035,0.9674,0.6682,0,4049.37355896363,0.236888600317469,1069.9369492402,0.418711954020091,1.46452666775263,0.627358810515826,0.3,0.0114,0.022,0.6512,0.1832,0,7920.2918402113,0.118123219460046,1086.94880263842,0.818971335821388,0.730278302747334,0.637333731112928,0.2,1e-04,0.001,0.2684,0.0349,0,13350.5573067124,0.0719853892320941,1077.00215811763,1.38046980742904,0.445038393901896,0.631501504195615,0.2,0.0179,0.035,0.8093,0.4257,0,5465.65612301492,0.159076737744574,1079.20767753672,0.565157924292656,0.983467015018028,0.632794713146209,0.2,0.009,0.035,0.53885,0.2303,0,8945.95622913149,0.104404987317295,1078.6835883767,0.925026737774352,0.645467481202716,0.632487412840088,0.2,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds"
"ple.27.7e","baseline","rfb","default","11-20",NA,0.631501504195615,1,2,3,1,1,1,1,NA,NA,NA,2,0.95,1.2,0.7,0.009,0.035,0.53885,0.2303,0,8945.95622913149,0.104404987317295,1078.6835883767,0.925026737774352,0.645467481202716,0.632487412840088,0.2,0.0244,0.035,0.9674,0.6682,0,4049.37355896363,0.236888600317469,1069.9369492402,0.418711954020091,1.46452666775263,0.627358810515826,0.3,0.0114,0.022,0.6512,0.1832,0,7920.2918402113,0.118123219460046,1086.94880263842,0.818971335821388,0.730278302747334,0.637333731112928,0.2,1e-04,0.001,0.2684,0.0349,0,13350.5573067124,0.0719853892320941,1077.00215811763,1.38046980742904,0.445038393901896,0.631501504195615,0.2,0.0179,0.035,0.8093,0.4257,0,5465.65612301492,0.159076737744574,1079.20767753672,0.565157924292656,0.983467015018028,0.632794713146209,0.2,0.009,0.035,0.53885,0.2303,0,8945.95622913149,0.104404987317295,1078.6835883767,0.925026737774352,0.645467481202716,0.632487412840088,0.2,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds"
"ple.27.7e","baseline","rfb","multiplier","1-20",1,0.75945337074713,1,2,3,1,1,1,1,NA,NA,NA,2,1.16,1.2,0.7,0.0316,0.046,0.6695,0.32215,0,7000.1303061524,0.173551890673109,1295.22069133264,0.723825104353789,1.07295738076474,0.759454202275158,0.2,0.0252,0.035,0.969,0.6754,0,4033.84882743315,0.253923646256861,1144.80800729279,0.417106670985539,1.56984317108456,0.671259544998629,0.3,0.0322,0.035,0.6932,0.2484,0,7249.1286242893,0.157387340056348,1293.77300780607,0.749571944159179,0.973022578419847,0.758605351306997,0.2,0.0345,0.046,0.5079,0.1824,0,9523.74819837,0.150291047164331,1607.5934612512,0.984771387393413,0.929150859102778,0.942614349714504,0.2,0.0287,0.035,0.8311,0.4619,0,5127.4364109832,0.19850031473393,1263.2767543653,0.530185444117436,1.22719710486504,0.740723836608979,0.2,0.0316,0.046,0.6695,0.32215,0,7000.1303061524,0.173551890673109,1295.22069133264,0.723825104353789,1.07295738076474,0.759454202275158,0.2,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.16_1.2_0.7.rds"
"ple.27.7e","baseline","rfb","multiplier","11-20",1,0.942613518186477,1,2,3,1,1,1,1,NA,NA,NA,2,1.16,1.2,0.7,0.0316,0.046,0.6695,0.32215,0,7000.1303061524,0.173551890673109,1295.22069133264,0.723825104353789,1.07295738076474,0.759454202275158,0.2,0.0252,0.035,0.969,0.6754,0,4033.84882743315,0.253923646256861,1144.80800729279,0.417106670985539,1.56984317108456,0.671259544998629,0.3,0.0322,0.035,0.6932,0.2484,0,7249.1286242893,0.157387340056348,1293.77300780607,0.749571944159179,0.973022578419847,0.758605351306997,0.2,0.0345,0.046,0.5079,0.1824,0,9523.74819837,0.150291047164331,1607.5934612512,0.984771387393413,0.929150859102778,0.942614349714504,0.2,0.0287,0.035,0.8311,0.4619,0,5127.4364109832,0.19850031473393,1263.2767543653,0.530185444117436,1.22719710486504,0.740723836608979,0.2,0.0316,0.046,0.6695,0.32215,0,7000.1303061524,0.173551890673109,1295.22069133264,0.723825104353789,1.07295738076474,0.759454202275158,0.2,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.16_1.2_0.7.rds"
"ple.27.7e","baseline","rfb","all","1-20",10,0.805942989488706,1,3,2,1,1,0.3,1.1,NA,NA,NA,2,1.1,1.2,0.7,0.0446,0.054,0.67965,0.3497,0,6630.86083634479,0.175766286934533,1378.72254252829,0.685642027635454,1.08664753881152,0.808415612645341,0.2,0.0366,0.053,0.9726,0.7066,0,3885.08190855225,0.281340206780657,1159.79051573013,0.401723924397419,1.73934176228457,0.680044556749524,0.254514553879024,0.0498,0.054,0.7198,0.2874,0,6789.24983446634,0.170565265371899,1381.64530906273,0.702019713204115,1.05449303763322,0.810129380300306,0.2,0.046,0.05,0.5131,0.2024,0,9444.51457587429,0.140922682528498,1507.00224256236,0.976578499180907,0.871232412102709,0.883632568264877,0.2,0.0432,0.054,0.8462,0.497,0,4852.22397805834,0.216743191347959,1275.57571569148,0.50172802128829,1.33998083216117,0.747935347300008,0.2,0.0446,0.054,0.67965,0.3497,0,6630.86083634479,0.175766286934533,1378.72254252829,0.685642027635454,1.08664753881152,0.808415612645341,0.2,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_3_2_1_1_0.3_1.1_2_1.1_1.2_0.7.rds"
"ple.27.7e","baseline","rfb","all","11-20",13,1.01604810816174,0,4,4,1,1.7,1.4,1.6,NA,NA,NA,2,1.48,1.2,0.7,0.02215,0.057,0.65625,0.2983,0,7223.65595311749,0.165171614635132,1294.25153080983,0.746938027637239,1.02114763675723,0.758885933842873,0.2,0.0202,0.035,0.9674,0.6676,0,4051.23746888038,0.231794586848878,1076.54266856164,0.418904685402364,1.43303372735514,0.631232081944618,0.3,0.009,0.014,0.6676,0.1882,0,7742.89002655768,0.139405911455052,1284.12230380263,0.800627693536969,0.861855212512008,0.752946649466167,0.2,0.0297,0.057,0.495,0.1687,0,9748.06942328018,0.156545247426339,1813.71503534786,1.00796657475824,0.967816472631251,1.0634739813393,0.2,0.0146,0.035,0.8175,0.4279,0,5420.00451024761,0.172618271918362,1241.83001311259,0.560437471682484,1.06718542904562,0.728148514211436,0.2,0.02215,0.057,0.65625,0.2983,0,7223.65595311749,0.165171614635132,1294.25153080983,0.746938027637239,1.02114763675723,0.758885933842873,0.2,"output/ple.27.7e/baseline/1000_20/rfb/mp_0_4_4_1_1.7_1.4_1.6_2_1.48_1.2_0.7.rds"
"cod.27.47d20","baseline","rfb","default","1-20",NA,-0.792935337894384,1,2,3,1,1,1,1,NA,NA,NA,2,0.95,1.2,0.7,0.07245,1,0.10345,0.0232,0,280374.83302007,0.0421661140397629,11034.3661134204,3.2161271873127,0.0928716864673714,0.207064662105616,0.2,0.2836,1,0.4054,0.0876,0,104175.423932143,0.0757430204833168,10800.2276717763,1.19497677287607,0.166825476110623,0.202670952779077,0.408724510549334,0.0016,0.002,0.0028,0.0016,0,267262.691186201,0.04350262031661,12837.3688602182,3.06572026461722,0.0958153675423683,0.240898790020505,0.2,0.0023,0.003,0.0028,0.0018,0,350101.91013642,0.0294456801457621,10476.8183421004,4.01595342702976,0.0648546833539583,0.196602036551105,0.2,0.1426,1,0.2041,0.0446,0,187304.58154064,0.0583034275250721,12458.6535292036,2.14853576732388,0.128414433352229,0.233792032709328,0.2,0.07245,1,0.10345,0.0232,0,280374.83302007,0.0421661140397629,11034.3661134204,3.2161271873127,0.0928716864673714,0.207064662105616,0.2,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds"
"cod.27.47d20","baseline","rfb","default","11-20",NA,0.196602036551105,1,2,3,1,1,1,1,NA,NA,NA,2,0.95,1.2,0.7,0.07245,1,0.10345,0.0232,0,280374.83302007,0.0421661140397629,11034.3661134204,3.2161271873127,0.0928716864673714,0.207064662105616,0.2,0.2836,1,0.4054,0.0876,0,104175.423932143,0.0757430204833168,10800.2276717763,1.19497677287607,0.166825476110623,0.202670952779077,0.408724510549334,0.0016,0.002,0.0028,0.0016,0,267262.691186201,0.04350262031661,12837.3688602182,3.06572026461722,0.0958153675423683,0.240898790020505,0.2,0.0023,0.003,0.0028,0.0018,0,350101.91013642,0.0294456801457621,10476.8183421004,4.01595342702976,0.0648546833539583,0.196602036551105,0.2,0.1426,1,0.2041,0.0446,0,187304.58154064,0.0583034275250721,12458.6535292036,2.14853576732388,0.128414433352229,0.233792032709328,0.2,0.07245,1,0.10345,0.0232,0,280374.83302007,0.0421661140397629,11034.3661134204,3.2161271873127,0.0928716864673714,0.207064662105616,0.2,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds"
"cod.27.47d20","baseline","rfb","multiplier","1-20",1,-0.396825255600248,1,2,3,1,1,1,1,NA,NA,NA,2,2,1.2,0.7,0.1712,1,0.2369,0.07195,0,157703.016049067,0.184496583821633,32142.8624874717,1.80898175479362,0.406357315042735,0.603174744399752,0.2,0.3954,1,0.567,0.0918,0,79611.5483519214,0.212754198186779,26423.6041440375,0.913209157614891,0.468595260402389,0.495850383017759,0.110727575274866,0.0486,0.053,0.0816,0.0268,0,174988.890373026,0.162675291968188,36222.3631922785,2.00726478102293,0.358295495226588,0.679728343067559,0.2,0.1204,0.214,0.1495,0.0846,0,203112.398562512,0.173034157425232,38945.7209015168,2.32986427512354,0.38111109791592,0.73083333070888,0.2,0.222,1,0.3243,0.0593,0,119902.251429015,0.190493840718355,27173.2025491559,1.37537626500612,0.419566390027719,0.509916921944899,0.2,0.1712,1,0.2369,0.07195,0,157703.016049067,0.184496583821633,32142.8624874717,1.80898175479362,0.406357315042735,0.603174744399752,0.2,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_2_1.2_0.7.rds"
"cod.27.47d20","baseline","rfb","multiplier","11-20",1,0.544833187208912,1,2,3,1,1,1,1,NA,NA,NA,2,1.63,1.2,0.7,0.106,1,0.1503,0.03775,0,203674.586145398,0.122890701865078,25816.982793892,2.33631302357294,0.270669161559592,0.484466870489463,0.2,0.34,1,0.4898,0.0876,0,88864.8163427136,0.156383680831254,21463.0098686097,1.01935166133436,0.344438099301203,0.402762681655809,0.2,0.0168,0.018,0.026,0.013,0,208767.033236205,0.109883835636076,26421.1367446692,2.39472753018995,0.242021285656116,0.495804081199311,0.2,0.0336,0.053,0.0427,0.0252,0,261315.53375609,0.105988727142764,29082.4212571837,2.99750153580985,0.233442233424599,0.545744238403312,0.2,0.1784,1,0.2579,0.0503,0,144526.485741361,0.134706374795979,21944.5367624913,1.65783624397658,0.29669341105066,0.411798742499856,0.2,0.106,1,0.1503,0.03775,0,203674.586145398,0.122890701865078,25816.982793892,2.33631302357294,0.270669161559592,0.484466870489463,0.2,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.63_1.2_0.7.rds"
